CITATIONS,LATITUDE,LONGITUDE
18564,47,134
18564,47,134
4736,33.3,131
24082303,33.05,139.9
20382,70.49644,104.5335
20389,50,81
20389,50,81
20389,50,81
20389,50,81
20389,50,81
20389,50,81
20389,50,81
20389,50,81
20389,50,81
20389,50,81
20389,50,81
20389,50,81
4768,46.2,-122.18
4768,46.2,-122.18
4768,46.2,-122.18
4768,46.2,-122.18
4768,46.2,-122.18
4768,46.2,-122.18
4768,46.2,-122.18
4768,46.2,-122.18
4768,46.2,-122.18
4768,46.2,-122.18
4768,46.2,-122.18
4768,46.2,-122.18
4768,46.2,-122.18
4768,46.2,-122.18
4768,46.2,-122.18
4768,46.2,-122.18
4768,46.2,-122.18
4768,46.2,-122.18
2341319191,33.308,86.0273
4770,14.5,-61
2341319191,34,84
2341319191,34,84
2341319191,34,84
2341319191,34,84
2341319191,34,84
2341319191,34,84
2341319191,34,84
2341319191,34,84
2341319191,34,84
2341319191,34,84
2341319191,34,84
2341319191,34,84
2341319191,34,84
2341319191,34,84
2341319191,34,84
2341319191,34,84
2341319191,34,84
2341319191,34,84
2341319191,34,84
2341319191,34,84
4770,14.5,-61
4770,14.5,-61
4770,14.5,-61
20441,53,109
20441,53,109
20441,53,109
20441,53,109
20441,53,109
20441,53,109
20441,53,109
20441,53,109
20441,53,109
20441,53,109
20441,53,109
20441,53,109
4770,14.5,-61
19001,-29.27,-177.92
2640,61.35,-139.1
2640,61.35,-139.1
2640,61.35,-139.1
2640,61.35,-139.1
2640,61.35,-139.1
2640,61.35,-139.1
2640,61.35,-139.1
2640,61.35,-139.1
2640,61.35,-139.1
2640,61.35,-139.1
2640,61.35,-139.1
20475,14.581,101.1047
20475,14.581,101.1047
18616,26,92.5
18616,26,92.5
18616,26,92.5
18616,26,92.5
18616,26,92.5
18616,26,92.5
18616,26,92.5
18613,38.3594,-105.4428
18613,38.3542,-105.4258
18609,27,101.5
18609,27,101.5
18609,27,101.5
18609,27,101.5
18609,27,101.5
18609,27,101.5
16208,30,96
20470,39.95,139.73
20470,39.95,139.73
1947818731,64.46325,-115.97767
19478,64.45219,-115.99587
20496,49,-93
20496,49,-93
20496,49,-93
20496,49,-93
20496,49,-93
20496,49,-93
20496,49,-93
20496,49,-93
20496,49,-93
20347,-39.296,174.065
20347,-39.296,174.065
20347,-39.296,174.065
20347,-39.296,174.065
20347,-39.296,174.065
20347,-39.296,174.065
20347,-39.296,174.065
20347,-39.296,174.065
20347,-39.296,174.065
20347,-39.296,174.065
4850,-21.23,55.68
4850,-21.23,55.68
4850,-21.23,55.68
4850,-21.23,55.68
4850,-21.23,55.68
4850,-21.23,55.68
4850,-21.23,55.68
4850,-21.23,55.68
4850,-21.23,55.68
4850,-21.23,55.68
4850,-21.23,55.68
19842,43,7
19842,43,7
19144,-24.383,-47.817
20523,64.42,-14.53
20523,64.42,-14.53
20523,64.42,-14.53
4771,-27.7,-67.6
4771,-27.7,-67.6
4771,-27.7,-67.6
4771,-27.7,-67.6
4771,-27.7,-67.6
4771,-27.7,-67.6
4771,-27.7,-67.6
4771,-27.7,-67.6
4771,-27.7,-67.6
4771,-27.7,-67.6
4771,-27.7,-67.6
4771,-27.7,-67.6
4771,-27.7,-67.6
4771,-27.7,-67.6
4771,-27.7,-67.6
4771,-27.7,-67.6
4771,-27.7,-67.6
4771,-27.7,-67.6
4771,-27.7,-67.6
4771,-27.7,-67.6
3652,35,135.3
3652,35,135.3
3652,35,135.3
19540,26.5,101.7
19540,26.5,101.7
19540,26.5,101.7
19540,26.5,101.7
19540,26.5,101.7
19540,26.5,101.7
19540,26.5,101.7
19540,26.5,101.7
19540,26.5,101.7
1954019386,26.5,101.7
1954019386,26.5,101.7
1954019386,26.5,101.7
20561,-78.060358,163.849165
20561,-78.271456,162.737613
20561,-78.283186,162.79195
20561,-78.284125,162.794996
20561,-78.273323,162.711094
20561,-78.287694,162.765985
20561,-78.252057,162.847872
20561,-78.280697,162.801011
20561,-78.258483,162.905005
20561,-80.442028,156.239198
20561,-79.874118,159.040168
20561,-79.862415,158.975594
20561,-79.861938,158.983948
20561,-79.930975,158.791216
20561,-79.862415,158.975594
20561,-79.862415,158.975594
20561,-79.899049,159.130576
20561,-80.452398,156.320963
16943,49,-97
16943,49,-97
20127,43,24
20127,43,24
20127,43,24
20127,43,24
20127,43,24
20127,43,24
18480,47,36
18480,47,36
18480,47,36
18480,47,36
18480,47,36
18480,47,36
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
18501,-27,125
20582,11.5204,76.6935
20582,11.5204,76.6935
20582,11.4911,76.5278
20582,11.5231,76.9134
20511,-35.424,178.649
20586,-77.33,162.82
20586,-78.06,163.85
13035,42.6,9
13035,42.6,9
13035,42.6,9
13035,42.6,9
13035,42.6,9
18815,46,-110
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
20590,46,7.5
2962,70,90
2962,70,90
2962,70,90
2962,70,90
2962,70,90
2962,70,90
20600,42.3,8.7
20617,33.1535,96.9452
20617,33.1535,96.9452
20617,33.1535,96.9452
20617,33.1535,96.9452
20617,33.1535,96.9452
20617,33.351,96.4642
20617,33.351,96.4642
20617,33.351,96.4642
20617,33.351,96.4642
20617,33.351,96.4642
20617,33.7872,95.4783
20617,33.7872,95.4783
20617,33.7872,95.4783
20617,33.7872,95.4783
20617,33.7872,95.4783
20629,46,8
20629,46,8
20629,46,8
20629,46,8
20629,46,8
20629,46,8
20629,46,8
20629,46,8
20629,46,8
20629,46,8
20633,42,9
20633,42,9
20633,42,9
20633,42,9
20633,42,9
20653,46,8
20653,46,8
20653,46,8
20653,46,8
20653,46,8
20653,46,8
20656,41.0911,88.0247
20656,41,88
20656,41,88
20656,41,88
20656,41.1019,87.5811
20656,41,88
20656,41,88
2766,-21.03,-174.92
4804,34,129.5
4804,34,129.5
4804,34,129.5
4804,34,129.5
4804,34,129.5
4804,34,129.5
4804,34,129.5
4804,34,129.5
4804,34,129.5
4804,34,129.5
2978,70,86
2978,70.19,89.44
2978,70,86
1229,-21,55.85
4800,-62.833,-60
20770,47.2,24.8
20770,47.2,24.8
20770,47.2,24.8
20770,47.2,24.8
20770,47.2,24.8
20770,47.2,24.8
20770,47.2,24.8
19826,51.21,-174.4
20775,32.16,110.931
20775,32.0332,110.8661
20775,32.0275,110.7275
4818,68.2,-31.5
4818,68.2,-31.5
20652,25,99
20652,25,99
20652,25,99
2898,44.835,-123.87
2898,44.835,-123.87
18790,65.2056,-130.75
4486,37.5,140
4486,37.5,140
4486,37.5,140
4486,37.5,140
4486,37.5,140
4486,37.5,140
4486,37.5,140
4486,37.5,140
4486,37.5,140
4486,37.5,140
4486,37.5,140
4486,37.5,140
4486,37.5,140
2434,,
2434,,
2434,,
2434,,
20833,-24.7,-48
20833,-24.7,-48
19340,64,-131
19224,19,99
19224,19.45,99.08
19224,19,99
19224,19,99
19507,2.5,-61.4
19507,2.5,-61.4
19507,2.5,-61.4
19507,2.5,-61.4
19507,2.5,-61.4
19507,2.5,-61.4
19507,2.5,-61.4
19507,2.5,-61.4
19507,2.5,-61.4
20839,7.426587,-80.641164
20839,7.723248,-81.354602
20839,9.384009,-79.307981
20839,9.311265,-79.323488
20839,9.323019,-79.441076
20839,9.351668,-79.462916
20839,9.209393,-79.402265
20839,9.223414,-79.255647
20839,9.223414,-79.255647
20839,9.513726,-79.248305
20839,9.391929,-79.485419
2191,,
20904,31.0203,-3.9515
20904,31.0238,-3.9495
20904,31.0219,-3.9375
20904,31.022,-3.933
20904,31.0309,-3.9233
20904,31.2321,-3.8291
19478,64.44822,-115.96235
19478,64.4474,-115.96235
19478,64.4474,-115.96235
19478,64.46134,-115.97463
19478,64.44787,-115.99592
19478,64.44851,-115.99101
19478,64.44639,-115.99625
19478,64.45496,-115.98533
19478,64.45496,-115.98533
19478,64.45725,-115.97761
19478,64.44562,-115.96136
19478,64.44547,-115.96149
19478,64.44586,-115.97266
19478,64.10511,-116.71234
19478,64.10511,-116.71234
19478,64.13879,-116.52226
19478,64.1219,-116.59822
19478,64.15,-128.03
19478,64.17,-127.97
19478,64.58,-127.3
19478,65.28578522,-131.5065723
19478,65.28571351,-131.5065655
19478,65.28571351,-131.5065655
19478,65.28571066,-131.5067368
19478,65.20678394,-118.8077542
19478,65.2,-130.82
19478,65.2,-130.82
19478,65.19,-131.1
19478,65.19,-131.1
19478,65.19,-131.1
19478,65.19,-131.1
19478,65.29,-131.97
19478,65.29,-131.97
19478,65.29246464,-131.9702619
19478,65.29240192,-131.9702549
19478,65.29,-131.97
19478,65.31710902,-131.5710976
19478,65.22282729,-130.5158488
19478,65.22,-130.52
19478,65.22,-130.52
19478,64.61,-128.46
19478,64.62,-128.2
19478,64.6,-128.19
19478,65,-130
19478,64.39449,-116.07051
19478,64.36783,-117.26444
19478,64.36783,-117.26444
19478,64.67347,-117.43215
19478,64.67344,-117.43282
19478,64.67371,-117.43389
19478,64.67263,-117.42908
4916,41.58,-121.58
4916,41.58,-121.58
4916,41.58,-121.58
4916,41.58,-121.58
4916,41.58,-121.58
20930,11.6,-2.8
20930,11.6,-2.8
20930,11.6,-2.8
20930,11.6,-2.8
20930,11.6,-2.8
20930,11.6,-2.8
2028920290,58,-77
3408,37.73,140.47
3408,37.73,140.47
17419,65,26
17419,65,29
4487,33.22,134.18
4487,33.22,134.18
4487,33.22,134.18
4487,33.22,134.18
17419,64,29
17419,64,29
17419,64,29
4487,33.22,134.18
4487,33.22,134.18
4487,33.22,134.18
17419,64,29
17419,63,31
17419,63,31
17419,63,31
5105,33.22,134.18
5105,33.22,134.18
5105,33.22,134.18
5105,33.22,134.18
5105,33.22,134.18
5105,33.22,134.18
5105,33.22,134.18
5105,33.22,134.18
793320464,-16.438,-152.262
1984219851,43,7
3921,39.95,139.73
3921,39.95,139.73
3921,39.95,139.73
3921,39.95,139.73
63106307,10.467,-84.733
6310,10.467,-84.733
63106307,10.467,-84.733
21017,52,129
20599,46.3,10.3
1881418815,46,-110
3594,33.6956,130.2728
2058920600,42.3,8.7
2058920600,42.3,8.7
20996,32.42,-115.31
291812753,11.5,-85
29186567,11.5,-85
21082,26.2,93.3
21082,26.2,93.3
21088,48,86.5
21088,48,86.5
21088,48,86.5
21088,48,86.5
21088,48,86.5
21088,47,90
21088,47,90
21088,47,90
21088,47,90
21088,47,90
21088,47,90
21088,47,90
21088,47,90
21088,47,90
21088,47,90
21088,47,90
21088,47,90
21088,47,90
21088,47,90
21088,47,90
21088,47,90
21088,47,90
21088,47,90
21088,47,90
21088,47,90
21088,47,90
21088,47,90
21088,47,90
21088,47,90
21088,47,90
21088,47,90
21088,47,90
21088,47.5,89
21088,47.5,89
21088,47.5,89
21088,47.5,89
21088,47.5,89
21088,47.5,89
21088,47.5,89
21088,47.5,89
21088,47.5,89
21088,47.5,89
21088,47.5,89
21088,47.5,89
21088,47.5,89
21088,47.5,89
21088,47.5,89
21088,47.5,89
21088,47.5,89
21088,47.5,89
21088,47.5,89
21088,47.5,89
21088,47.5,89
21088,47.5,89
21088,47.5,89
21088,47.5,89
21090,12.417,78.533
21096,42,-4
21096,42,-4
21096,42,-4
21096,42,-4
21096,42,-4
21096,42,-4
21096,42,-4
21096,42,-4
21096,42,-4
21099,24.846,72.5288
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
18275,67,-115
17378,-28.3506,24.3981
21135,24.15,115.75
21135,24.15,115.75
21135,24.15,115.75
21135,24.15,115.75
1879018792,64.23,-128.07
21147,48.2326,86.5927
21147,48.2326,86.5927
21147,48.2326,86.5927
21147,48.2326,86.5927
21147,48.2326,86.5927
21147,48.2326,86.5927
21147,48.2326,86.5927
21147,48.2326,86.5927
21147,48.2326,86.5927
21147,48.2326,86.5927
21151,48.5,95.5
21151,48.5,95.5
21151,48.5,95.5
21151,48.5,95.5
21151,48.5,95.5
21151,48.5,95.5
21151,48.5,95.5
21151,48.5,95.5
21151,48.5,95.5
21151,48.5,95.5
21151,48.5,95.5
21151,48.5,95.5
21151,48.5,95.5
21151,48.5,95.5
21151,48.5,95.5
21151,48.5,95.5
21151,48.5,95.5
21151,48.5,95.5
21151,48.5,95.5
21151,48.5,95.5
21151,48.5,95.5
21151,48.5,95.5
21151,48.5,95.5
21151,48.5,95.5
21151,48.5,95.5
21151,48.5,95.5
20992,6.527422,-75.769031
20992,6.52797,-75.753591
21156,-10,-51.5
21156,-10,-51.5
21156,-10,-51.5
21165,22.5309,111.1664
21165,22.5309,111.1664
21165,22.5309,111.1664
21165,22.5309,111.1664
21165,22.5309,111.1664
21165,22.5309,111.1664
21165,22.5309,111.1664
21165,22.5309,111.1664
21165,24.2478,115.2619
21165,24.2478,115.2619
21165,24.2478,115.2619
21165,24.2478,115.2619
21165,24.2478,115.2619
21165,24.1436,115.5827
21165,24.1436,115.5827
21165,24.1436,115.5827
21165,24.1436,115.5827
21165,24.14,115.58
21165,24.14,115.58
21165,24.14,115.58
21165,24.14,115.58
21166,27,118
21166,27,118
21166,27,118
21166,27,118
21166,27,118
21166,27,118
21166,27,118
21167,28.096,114.311
21167,28.096,114.311
21167,28.096,114.311
21167,28.096,114.311
21167,28.096,114.311
1921621502,12.076,144.0177
1921621502,12.0784,144.019
1921621502,12.0797,144.0194
29186567,11.5,-85
20839,9.223843,-79.346643
5158,19.74,-155.05
5158,19.74,-155.05
